hparam: {'max_len': 40, 'batch_size': 16, 'learning_rate': 3e-06}, acc: 0.42714932560920715, best acc = 0.48235294222831726
hparam: {'max_len': 40, 'batch_size': 16, 'learning_rate': 1e-05}, acc: 0.45565611124038696, best acc = 0.48235294222831726
hparam: {'max_len': 40, 'batch_size': 16, 'learning_rate': 0.0003}, acc: 0.4506787359714508, best acc = 0.48235294222831726
hparam: {'max_len': 40, 'batch_size': 16, 'learning_rate': 0.0001}, acc: 0.4656108617782593, best acc = 0.48235294222831726
hparam: {'max_len': 40, 'batch_size': 32, 'learning_rate': 3e-06}, acc: 0.4226244390010834, best acc = 0.48235294222831726
hparam: {'max_len': 40, 'batch_size': 32, 'learning_rate': 1e-05}, acc: 0.45203620195388794, best acc = 0.48235294222831726
hparam: {'max_len': 40, 'batch_size': 32, 'learning_rate': 0.0003}, acc: 0.45158371329307556, best acc = 0.48235294222831726
hparam: {'max_len': 40, 'batch_size': 32, 'learning_rate': 0.0001}, acc: 0.4751131236553192, best acc = 0.48235294222831726
hparam: {'max_len': 40, 'batch_size': 40, 'learning_rate': 3e-06}, acc: 0.41040724515914917, best acc = 0.48235294222831726
hparam: {'max_len': 40, 'batch_size': 40, 'learning_rate': 1e-05}, acc: 0.4484162926673889, best acc = 0.48235294222831726
hparam: {'max_len': 40, 'batch_size': 40, 'learning_rate': 0.0003}, acc: 0.46425339579582214, best acc = 0.48235294222831726
hparam: {'max_len': 40, 'batch_size': 40, 'learning_rate': 0.0001}, acc: 0.4837104082107544, best acc = 0.4837104082107544
hparam: {'max_len': 40, 'batch_size': 48, 'learning_rate': 3e-06}, acc: 0.4153846204280853, best acc = 0.4837104082107544
hparam: {'max_len': 40, 'batch_size': 48, 'learning_rate': 1e-05}, acc: 0.44932126998901367, best acc = 0.4837104082107544
hparam: {'max_len': 40, 'batch_size': 48, 'learning_rate': 0.0003}, acc: 0.4737556576728821, best acc = 0.4837104082107544
hparam: {'max_len': 40, 'batch_size': 48, 'learning_rate': 0.0001}, acc: 0.46787330508232117, best acc = 0.4837104082107544
hparam: {'max_len': 40, 'batch_size': 64, 'learning_rate': 3e-06}, acc: 0.4031674265861511, best acc = 0.4837104082107544
hparam: {'max_len': 40, 'batch_size': 64, 'learning_rate': 1e-05}, acc: 0.4524886906147003, best acc = 0.4837104082107544
hparam: {'max_len': 40, 'batch_size': 64, 'learning_rate': 0.0003}, acc: 0.4778280556201935, best acc = 0.4837104082107544
hparam: {'max_len': 40, 'batch_size': 64, 'learning_rate': 0.0001}, acc: 0.4651583731174469, best acc = 0.4837104082107544
hparam: {'max_len': 40, 'batch_size': 128, 'learning_rate': 3e-06}, acc: 0.37963801622390747, best acc = 0.4837104082107544
hparam: {'max_len': 40, 'batch_size': 128, 'learning_rate': 1e-05}, acc: 0.43303167819976807, best acc = 0.4837104082107544
hparam: {'max_len': 40, 'batch_size': 128, 'learning_rate': 0.0003}, acc: 0.47239819169044495, best acc = 0.4837104082107544
hparam: {'max_len': 40, 'batch_size': 128, 'learning_rate': 0.0001}, acc: 0.4647058844566345, best acc = 0.4837104082107544
hparam: {'max_len': 48, 'batch_size': 16, 'learning_rate': 1e-05}, acc: 0.46244344115257263, best acc = 0.46244344115257263
hparam: {'max_len': 48, 'batch_size': 16, 'learning_rate': 0.0003}, acc: 0.45429864525794983, best acc = 0.46244344115257263
hparam: {'max_len': 48, 'batch_size': 16, 'learning_rate': 0.0001}, acc: 0.46651583909988403, best acc = 0.46651583909988403
hparam: {'max_len': 48, 'batch_size': 32, 'learning_rate': 1e-05}, acc: 0.44570136070251465, best acc = 0.46651583909988403
hparam: {'max_len': 48, 'batch_size': 32, 'learning_rate': 0.0003}, acc: 0.4533936679363251, best acc = 0.46651583909988403
hparam: {'max_len': 48, 'batch_size': 32, 'learning_rate': 0.0001}, acc: 0.4651583731174469, best acc = 0.46651583909988403
hparam: {'max_len': 48, 'batch_size': 40, 'learning_rate': 1e-05}, acc: 0.4529411792755127, best acc = 0.46651583909988403
hparam: {'max_len': 48, 'batch_size': 40, 'learning_rate': 0.0003}, acc: 0.4696832597255707, best acc = 0.4696832597255707
hparam: {'max_len': 48, 'batch_size': 40, 'learning_rate': 0.0001}, acc: 0.4814479649066925, best acc = 0.4814479649066925
hparam: {'max_len': 48, 'batch_size': 48, 'learning_rate': 1e-05}, acc: 0.44524887204170227, best acc = 0.4814479649066925
hparam: {'max_len': 48, 'batch_size': 48, 'learning_rate': 0.0003}, acc: 0.46651583909988403, best acc = 0.4814479649066925
hparam: {'max_len': 48, 'batch_size': 48, 'learning_rate': 0.0001}, acc: 0.48642534017562866, best acc = 0.48642534017562866
hparam: {'max_len': 48, 'batch_size': 64, 'learning_rate': 1e-05}, acc: 0.44932126998901367, best acc = 0.48642534017562866
hparam: {'max_len': 48, 'batch_size': 64, 'learning_rate': 0.0003}, acc: 0.46832579374313354, best acc = 0.48642534017562866
hparam: {'max_len': 48, 'batch_size': 64, 'learning_rate': 0.0001}, acc: 0.4737556576728821, best acc = 0.48642534017562866
hparam: {'max_len': 48, 'batch_size': 128, 'learning_rate': 1e-05}, acc: 0.4343891441822052, best acc = 0.48642534017562866
hparam: {'max_len': 48, 'batch_size': 128, 'learning_rate': 0.0003}, acc: 0.45791855454444885, best acc = 0.48642534017562866
hparam: {'max_len': 48, 'batch_size': 128, 'learning_rate': 0.0001}, acc: 0.47647058963775635, best acc = 0.48642534017562866
hparam: {'max_len': 56, 'batch_size': 16, 'learning_rate': 1e-05}, acc: 0.46380090713500977, best acc = 0.48642534017562866
hparam: {'max_len': 56, 'batch_size': 16, 'learning_rate': 0.0003}, acc: 0.4692307710647583, best acc = 0.48642534017562866
